Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
01/02/2017,Completed,01/03/2017,17-00012728,Sanitation Code Violation,Garbage in alley,6156 S KARLOV AVE,60629,1150093.1724781,1863460.0832725,23,8,65,41.78123782345127,-87.72527525417806,"(41.78123782345127, -87.72527525417806)"
01/02/2017,Completed,01/03/2017,17-00015443,Sanitation Code Violation,Overflowing carts,2433 N ASHLAND AVE,60614,1165256.82328675,1916370.18007931,32,19,7,41.926120388059594,-87.66817909285737,"(41.926120388059594, -87.66817909285737)"
01/02/2017,Completed,01/03/2017,17-00017008,Sanitation Code Violation,Dumpster not being emptied,4400 S DREXEL BLVD,60653,1182932.25188636,1876025.24999466,4,2,39,41.81501736681795,-87.60448996218275,"(41.81501736681795, -87.60448996218275)"
01/02/2017,Completed,01/03/2017,17-00019975,Sanitation Code Violation,Other,445 N RIDGEWAY AVE,60624,1151308.78988883,1902733.02996857,27,11,23,41.88898421978483,-87.71979005105871,"(41.88898421978483, -87.71979005105871)"
01/02/2017,Completed,01/03/2017,17-00023515,Sanitation Code Violation,Garbage in yard,4240 N KEELER AVE,60641,1147643.18428477,1927851.43699867,39,17,16,41.95798262337295,-87.73260547955365,"(41.95798262337295, -87.73260547955365)"
01/02/2017,Completed,01/03/2017,17-00025284,Sanitation Code Violation,Garbage in alley,1310 N LA SALLE DR,60610,1174892.27708159,1909097.19600808,2,18,8,41.905952444333785,-87.63299196329922,"(41.905952444333785, -87.63299196329922)"
01/02/2017,Completed,01/03/2017,17-00025623,Sanitation Code Violation,Garbage in alley,1043 E 43RD ST,60653,1184032.95536959,1876715.56956745,4,2,39,41.81688596394339,-87.6004308765625,"(41.81688596394339, -87.6004308765625)"
01/02/2017,Completed,01/03/2017,17-00026533,Sanitation Code Violation,Garbage in yard,4140 N PITTSBURGH AVE,60634,1120338.38858905,1926482.2144075,38,16,17,41.95470667137491,-87.83301902198677,"(41.95470667137491, -87.83301902198677)"
01/02/2017,Completed,01/03/2017,17-00028451,Sanitation Code Violation,Garbage in yard,1501 W SCHOOL ST,60657,1165719.70993075,1922000.43473254,44,19,6,41.9415602438082,-87.6663172543744,"(41.9415602438082, -87.6663172543744)"
01/02/2017,Completed,01/03/2017,17-00028728,Sanitation Code Violation,Other,2000 W CONGRESS PKWY,60612,1163138.5282015,1897732.28810811,27,12,28,41.87502143860257,-87.67648715344943,"(41.87502143860257, -87.67648715344943)"
