SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,17-00017391,01/02/2017,Rear,,Open,BACK DOOR,Vacant,false,true,632,N,LATROBE,AVE,60644,1141249.76017514,1903678.16579461,37,15,25,41.891769211507615,-87.75670784584048,"(41.891769211507615, -87.75670784584048)"
Vacant/Abandoned Building,17-00026275,01/02/2017,Rear,,Open,,Vacant,false,true,3520,W,BELDEN,AVE,60647,1152883.2057892,1915072.41621935,35,14,22,41.92281360331314,-87.7136808017195,"(41.92281360331314, -87.7136808017195)"
Vacant/Abandoned Building,17-00042635,01/03/2017,Front,,Open,,Vacant,false,false,2943,W,WASHINGTON,BLVD,60612,1156751.50731015,1900541.04760944,27,12,27,41.88286068279902,-87.6998616079848,"(41.88286068279902, -87.6998616079848)"
Vacant/Abandoned Building,17-00046576,01/03/2017,Front,,Boarded,,Vacant,false,false,9312,S,KENWOOD,AVE,60619,1186736.38002676,1843505.51387212,8,4,47,41.72569097261967,-87.59156485690048,"(41.72569097261967, -87.59156485690048)"
Vacant/Abandoned Building,17-00051839,01/03/2017,Front,,Open,,Vacant,false,true,10809,S,AVENUE N,,60617,1201200.59380793,1833891.89058326,10,4,52,41.698956165790186,-87.53890774184231,"(41.698956165790186, -87.53890774184231)"
Vacant/Abandoned Building,17-00046778,01/03/2017,Front,,Boarded,,Vacant,false,false,7603,S,RHODES,AVE,60619,1181221.32179493,1854719.75419199,6,6,69,41.756592763990916,-87.61142200667852,"(41.756592763990916, -87.61142200667852)"
Vacant/Abandoned Building,17-00043485,01/03/2017,Front,,Boarded,FRONT DOOR,Vacant,false,true,2519,W,63RD,ST,60629,1160582.82306854,1862798.32338313,16,8,66,41.779211876207306,-87.68683585484152,"(41.779211876207306, -87.68683585484152)"
Vacant/Abandoned Building,17-00043609,01/03/2017,Front,,Boarded,,Vacant,false,true,2521,W,63RD,ST,60629,1160561.52306854,1862797.72338313,16,8,66,41.779210669131096,-87.68691395979606,"(41.779210669131096, -87.68691395979606)"
Vacant/Abandoned Building,17-00054080,01/03/2017,Front,,Boarded,,Vacant,false,false,5921,S,CAMPBELL,AVE,60629,1160718.16481979,1865323.2547333,16,8,66,41.78613784098296,-87.68627001695704,"(41.78613784098296, -87.68627001695704)"
Vacant/Abandoned Building,17-00054165,01/03/2017,Front,,Open,VARIOUS,Vacant,false,false,6519,S,CLAREMONT,AVE,60636,1161863.65399,1861363.704272,16,8,66,41.77524856363298,-87.68217999890751,"(41.77524856363298, -87.68217999890751)"
Vacant/Abandoned Building,17-00054502,01/03/2017,Front,,Boarded,,Vacant,false,false,9554,S,WALLACE,ST,60628,1173984.4694145,1841519.64898272,21,22,73,41.72053352590538,-87.63833424414388,"(41.72053352590538, -87.63833424414388)"
Vacant/Abandoned Building,17-00042925,01/03/2017,,,,,,,,6032,S,ELIZABETH,ST,60636,1169024.56422049,1864776.00888775,16,7,67,41.78446055696625,-87.65583040637075,"(41.78446055696625, -87.65583040637075)"
Vacant/Abandoned Building,17-00054086,01/03/2017,Front,,Boarded,,Vacant,false,false,8527,S,RACINE,AVE,60620,1169810.55289061,1848244.99190207,21,6,71,41.73908028595897,-87.65342771129288,"(41.73908028595897, -87.65342771129288)"
Vacant/Abandoned Building,17-00045172,01/03/2017,,,,,,,,4000,E,134TH,ST,60633,1204439.11998539,1816676.27997743,10,4,55,41.65163236365521,-87.52763949079129,"(41.65163236365521, -87.52763949079129)"
Vacant/Abandoned Building,17-00068420,01/04/2017,Front,,Open,,Vacant,false,false,8022,S,EMERALD,AVE,60620,1172695.69198638,1851676.4341772,21,6,71,41.748433579115364,-87.6427562193056,"(41.748433579115364, -87.6427562193056)"
Vacant/Abandoned Building,17-00068968,01/04/2017,Front,,Open,,Vacant,false,false,7801,S,UNION,AVE,60620,1172986.71356718,1853145.70597247,6,6,71,41.75245903397721,-87.64164653602171,"(41.75245903397721, -87.64164653602171)"
Vacant/Abandoned Building,17-00070421,01/04/2017,Front,,Open,,Vacant,false,false,7209,S,CARPENTER,ST,60621,1170560.33157355,1857013.27000032,6,7,68,41.76312531420479,-87.65042567766548,"(41.76312531420479, -87.65042567766548)"
Vacant/Abandoned Building,17-00070425,01/04/2017,Front,,Open,,Vacant,false,false,6352,S,EVANS,AVE,60637,1182311.47592862,1863053.65278791,20,3,42,41.779436632580236,-87.60716897854888,"(41.779436632580236, -87.60716897854888)"
Vacant/Abandoned Building,17-00070673,01/04/2017,,,,,,,,1135,N,SPRINGFIELD,AVE,60651,1150176.44887514,1907290.62080205,37,11,23,41.901512860505726,-87.72382957936509,"(41.901512860505726, -87.72382957936509)"
Vacant/Abandoned Building,17-00063417,01/04/2017,Front,,Open,ALL OVER,Vacant,false,false,7128,S,LAFAYETTE,AVE,60621,1177077.80870602,1857592.39988589,6,7,69,41.76457004049533,-87.62652059595995,"(41.76457004049533, -87.62652059595995)"
Vacant/Abandoned Building,17-00070373,01/04/2017,Front,,Open,,Vacant,false,true,1753,W,59TH,ST,60636,1165579.8499076,1865564.4519159,15,7,67,41.78669793238196,-87.66843777258137,"(41.78669793238196, -87.66843777258137)"
Vacant/Abandoned Building,17-00070264,01/04/2017,Front,,Open,FRONT DOOR,Vacant,false,false,741,N,PINE,AVE,60644,1139389.65320544,1904382.84482094,37,15,25,41.893737037253324,-87.7635220935787,"(41.893737037253324, -87.7635220935787)"
Vacant/Abandoned Building,17-00084896,01/05/2017,Rear,,Open,WATER LEAKING AT THE REAR INTO THE ALLEY,Vacant,false,false,2154,E,79TH,ST,60649,1192014.08408688,1853014.51548159,8,4,43,41.75165811389827,-87.57192449251859,"(41.75165811389827, -87.57192449251859)"
Vacant/Abandoned Building,17-00083292,01/05/2017,Front,,Open,,Vacant,true,false,6538,S,HONORE,ST,60636,1165137.460275,1861318.86347732,15,7,67,41.775056865719726,-87.6701798609749,"(41.775056865719726, -87.6701798609749)"
Vacant/Abandoned Building,17-00085782,01/05/2017,,,,,,,,217,E,134TH,ST,60827,1180127.44907944,1816530.57997074,9,5,54,41.65182164740096,-87.61659562432567,"(41.65182164740096, -87.61659562432567)"
Vacant/Abandoned Building,17-00085783,01/05/2017,,,,,,,,217,E,134TH,ST,60827,1180127.44907944,1816530.57997074,9,5,54,41.65182164740096,-87.61659562432567,"(41.65182164740096, -87.61659562432567)"
Vacant/Abandoned Building,17-00098413,01/06/2017,Front,,Open,,Vacant,false,false,414,W,ENGLEWOOD,AVE,60621,1174603.78002794,1863499.66002127,20,7,68,41.78083566084043,-87.63541282119954,"(41.78083566084043, -87.63541282119954)"
Vacant/Abandoned Building,17-00101874,01/06/2017,Front,,Open,,Vacant,true,false,2054,N,PULASKI,RD,60639,1149379.19237381,1913437.97012026,26,25,20,41.918397291772216,-87.72659828844799,"(41.918397291772216, -87.72659828844799)"
Vacant/Abandoned Building,17-00106366,01/06/2017,Front,,Open,ALL AROUND,Vacant,false,false,7512,S,EBERHART,AVE,60619,1180875.96269711,1855313.85759596,6,6,69,41.758230993008574,-87.61266943215811,"(41.758230993008574, -87.61266943215811)"
Vacant/Abandoned Building,17-00118792,01/07/2017,Front,,Open,FRONT ENTRANCE DOOR OPEN,Vacant,false,false,6008,S,MAY,ST,60621,1169679.72490049,1864953.56850407,16,7,68,41.78493361032161,-87.6534231789828,"(41.78493361032161, -87.6534231789828)"
Vacant/Abandoned Building,17-00122758,01/07/2017,Rear,,Boarded,,Vacant,false,true,3128,W,55TH,ST,60632,1156348.70001556,1867988.22003232,14,9,63,41.79354000407062,-87.70221904293325,"(41.79354000407062, -87.70221904293325)"
Vacant/Abandoned Building,17-00116834,01/07/2017,Front,,Boarded,,Vacant,false,false,5400,S,HALSTED,ST,60609,1171889.40422219,1869019.24010952,20,9,61,41.796042028390346,-87.64520225549494,"(41.796042028390346, -87.64520225549494)"
Vacant/Abandoned Building,17-00125847,01/08/2017,Rear,,Open,REAR,Vacant,true,false,8229,S,ELIZABETH,ST,60620,1169422.97897991,1850211.45701593,21,6,71,41.744484933972025,-87.6547909009778,"(41.744484933972025, -87.6547909009778)"
Vacant/Abandoned Building,17-00133845,01/08/2017,Rear,,Open,WINDOW,Vacant,false,true,13135,S,BUFFALO,AVE,60633,1200084.02927878,1818474.23931144,10,4,55,41.65667675774092,-87.54351345401501,"(41.65667675774092, -87.54351345401501)"
Vacant/Abandoned Building,17-00136514,01/09/2017,Front,,Open,,Vacant,true,false,4834,S,SEELEY,AVE,60609,1163507.61017487,1872600.91333367,15,9,61,41.80605058523871,-87.67583839331903,"(41.80605058523871, -87.67583839331903)"
Vacant/Abandoned Building,17-00144558,01/09/2017,Rear,,Open,REAR,Vacant,false,false,1422,N,BOSWORTH,AVE,60642,1165808.70493422,1909557.1717123,2,14,24,41.907413306107074,-87.66634589823559,"(41.907413306107074, -87.66634589823559)"
Vacant/Abandoned Building,17-00145159,01/09/2017,Front,,Open,FRONT DOOR AND WINDOW,Vacant,false,false,10403,S,COTTAGE GROVE,AVE,60628,1182600.19051182,1836113.36998366,9,5,50,41.7055028227511,-87.60694422324983,"(41.7055028227511, -87.60694422324983)"
Vacant/Abandoned Building,17-00142890,01/09/2017,Front,,Open,FRONT AND REAR,Vacant,true,false,1140,S,FRANCISCO,AVE,60612,1157197.42420904,1894971.68608422,28,11,29,41.86756875788319,-87.69837546938611,"(41.86756875788319, -87.69837546938611)"
Vacant/Abandoned Building,17-00144091,01/09/2017,Front,,Boarded,,Vacant,false,true,12207,S,LOOMIS,ST,60643,1169210.60137492,1823800.38349483,34,5,53,41.672013420390314,-87.65632990776044,"(41.672013420390314, -87.65632990776044)"
Vacant/Abandoned Building,17-00143430,01/09/2017,Front,,Boarded,,Vacant,true,false,5219,W,ADAMS,ST,60644,1141611.25007764,1898832.37189081,29,15,25,41.878465080349464,-87.75550007088034,"(41.878465080349464, -87.75550007088034)"
Vacant/Abandoned Building,17-00168686,01/10/2017,,,,,,,,6826,S,LANGLEY,AVE,60637,1182068.13819737,1859905.4535014,20,3,42,41.77080330729925,-87.60815839637537,"(41.77080330729925, -87.60815839637537)"
Vacant/Abandoned Building,17-00167112,01/10/2017,Front,,Open,OPEN,Vacant,true,true,1209,E,93RD,ST,60619,1185928.2176911,1843557.46479133,8,4,47,41.725852603592195,-87.59452352761267,"(41.725852603592195, -87.59452352761267)"
Vacant/Abandoned Building,17-00163670,01/10/2017,Front,,Open,FRONT DOOR AND WINDOWS,Vacant,false,true,4236,W,HADDON,AVE,60651,1147926.7971811,1907330.35988145,37,11,23,41.901665471110675,-87.7320918427675,"(41.901665471110675, -87.7320918427675)"
Vacant/Abandoned Building,17-00167744,01/10/2017,Rear,,Open,FRONT -REAR-DOORS ARE OPEN,Vacant,false,true,2631,W,23RD,PL,60608,1159192.92147444,1888301.27001428,12,10,30,41.849223709229854,-87.69123279257497,"(41.849223709229854, -87.69123279257497)"
Vacant/Abandoned Building,17-00166325,01/10/2017,Front,,Open,FRONT,Vacant,false,true,9828,S,AVENUE L,,60617,1201799.359799,1840538.23449175,10,4,52,41.71717910467567,-87.5364902033005,"(41.71717910467567, -87.5364902033005)"
Vacant/Abandoned Building,17-00166512,01/10/2017,,,,,,,,2747,W,LAKE,ST,60612,1157964.99999788,1901069.65190182,27,12,27,41.8842865560906,-87.69539117429433,"(41.8842865560906, -87.69539117429433)"
Vacant/Abandoned Building,17-00171493,01/10/2017,Rear,,Open,,Vacant,true,false,3655,E,99TH,ST,60617,1202248.06307621,1840049.38383271,10,4,52,41.715826252975596,-87.5348634441887,"(41.715826252975596, -87.5348634441887)"
