,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,FIPS
0,1/2/17,Completed,1/3/17,17-00012728,Sanitation Code Violation,Garbage in alley,6156 S KARLOV AVE,60629,1150093.172,1863460.083,23,8,65,41.78123782,-87.72527525,"(41.78123782345127, -87.72527525417806)",170316502002004
1,1/2/17,Completed,1/3/17,17-00015443,Sanitation Code Violation,Overflowing carts,2433 N ASHLAND AVE,60614,1165256.823,1916370.18,32,19,7,41.92612039,-87.66817909,"(41.926120388059594, -87.66817909285737)",170310706002016
2,1/2/17,Completed,1/3/17,17-00017008,Sanitation Code Violation,Dumpster not being emptied,4400 S DREXEL BLVD,60653,1182932.252,1876025.25,4,2,39,41.81501737,-87.60448996,"(41.81501736681795, -87.60448996218275)",170313903002003
3,1/2/17,Completed,1/3/17,17-00019975,Sanitation Code Violation,Other,445 N RIDGEWAY AVE,60624,1151308.79,1902733.03,27,11,23,41.88898422,-87.71979005,"(41.88898421978483, -87.71979005105871)",170312315005024
4,1/2/17,Completed,1/3/17,17-00023515,Sanitation Code Violation,Garbage in yard,4240 N KEELER AVE,60641,1147643.184,1927851.437,39,17,16,41.95798262,-87.73260548,"(41.95798262337295, -87.73260547955365)",170311603003004
5,1/2/17,Completed,1/3/17,17-00025284,Sanitation Code Violation,Garbage in alley,1310 N LA SALLE DR,60610,1174892.277,1909097.196,2,18,8,41.90595244,-87.63299196,"(41.905952444333785, -87.63299196329922)",170310802022003
6,1/2/17,Completed,1/3/17,17-00025623,Sanitation Code Violation,Garbage in alley,1043 E 43RD ST,60653,1184032.955,1876715.57,4,2,39,41.81688596,-87.60043088,"(41.81688596394339, -87.6004308765625)",170318364002016
7,1/2/17,Completed,1/3/17,17-00026533,Sanitation Code Violation,Garbage in yard,4140 N PITTSBURGH AVE,60634,1120338.389,1926482.214,38,16,17,41.95470667,-87.83301902,"(41.95470667137491, -87.83301902198677)",170311705002006
8,1/2/17,Completed,1/3/17,17-00028451,Sanitation Code Violation,Garbage in yard,1501 W SCHOOL ST,60657,1165719.71,1922000.435,44,19,6,41.94156024,-87.66631725,"(41.9415602438082, -87.6663172543744)",170310624001009
9,1/2/17,Completed,1/3/17,17-00028728,Sanitation Code Violation,Other,2000 W CONGRESS PKWY,60612,1163138.528,1897732.288,27,12,28,41.87502144,-87.67648715,"(41.87502143860257, -87.67648715344943)",170318380002026
10,1/2/17,Completed,1/3/17,17-00028729,Sanitation Code Violation,Other,2000 W VAN BUREN ST,60612,1163124.159,1898164.27,27,12,28,41.87620714,-87.67652777,"(41.87620713546217, -87.67652777241643)",170318381002034
11,1/2/17,Completed,1/3/17,17-00028734,Sanitation Code Violation,Other,2000 W JACKSON BLVD,60612,1163115.73,1898627.532,27,12,28,41.87747854,-87.67654571,"(41.877478543567285, -87.67654570674573)",170318381002034
12,1/2/17,Completed,1/3/17,17-00029779,Sanitation Code Violation,Dumpster not being emptied,1910 W MORSE AVE,60626,1162261.894,1946075.23,49,24,1,42.0076956,-87.67834957,"(42.007695596571, -87.67834957051888)",170310107011002
13,1/2/17,Completed,1/3/17,17-00029864,Sanitation Code Violation,Dumpster not being emptied,1912 W MORSE AVE,60626,1162243.894,1946074.63,49,24,1,42.00769433,-87.67841581,"(42.00769432802497, -87.67841581311149)",170310107011012
14,1/2/17,Completed,1/3/17,17-00031280,Sanitation Code Violation,Overflowing carts,6255 W 63RD ST,60638,1135712.11,1862087.288,13,8,64,41.77773758,-87.77803291,"(41.77773758318669, -87.77803290722633)",170316403006029
15,1/2/17,Completed,1/3/17,17-00031634,Sanitation Code Violation,Construction Site Cleanliness/Fence,1838 W 17TH ST,60608,1164389.588,1891767.218,25,12,31,41.85862639,-87.67206249,"(41.858626391419904, -87.67206249075724)",170313109001005
16,1/2/17,Completed,1/3/17,17-00032133,Sanitation Code Violation,Other,910 S WABASH AVE,60605,1176927.761,1896189.945,4,1,32,41.87048843,-87.62590586,"(41.870488427726414, -87.62590585857481)",170313206002016
17,1/2/17,Completed,1/3/17,17-00033254,Sanitation Code Violation,Garbage in alley,3407 N KARLOV AVE,60641,1148623.497,1922527.573,30,17,16,41.9433546,-87.72913945,"(41.94335460473659, -87.72913945342785)",170311613002003
18,1/2/17,Completed,1/3/17,17-00034129,Sanitation Code Violation,Dog feces in yard,7437 N ROGERS AVE,60626,1163494.52,1949389.461,49,24,1,42.01676395,-87.67372053,"(42.01676394687118, -87.67372053068941)",170310102021001
19,1/2/17,Completed,1/3/17,17-00037699,Sanitation Code Violation,Overflowing carts,6600 N NEWGARD AVE,60626,1165402.696,1943943.835,49,24,1,42.00178049,-87.66685498,"(42.001780487238975, -87.66685497799794)",170310106003001
20,1/2/17,Completed - Dup,1/4/17,17-00015728,Sanitation Code Violation,Overflowing carts,7728 S YATES BLVD,60649,1193540.348,1854190.32,7,4,43,41.75484742,-87.56629314,"(41.754847415100095, -87.56629314351576)",170314312001000
21,1/2/17,Completed - Dup,1/4/17,17-00015731,Sanitation Code Violation,Overflowing carts,7740 S YATES BLVD,60649,1193542.148,1854110.22,7,4,43,41.75462757,-87.56628916,"(41.75462757029349, -87.56628916429095)",170314312001000
22,1/2/17,Completed - Dup,1/4/17,17-00015733,Sanitation Code Violation,Overflowing carts,7748 S YATES BLVD,60649,1193543.448,1854056.72,7,4,43,41.75448073,-87.56628615,"(41.75448073022997, -87.56628614828854)",170314312001000
23,1/2/17,Completed,1/4/17,17-00015660,Sanitation Code Violation,Dumpster not being emptied,7740 S YATES BLVD,60649,1193542.148,1854110.22,7,4,43,41.75462757,-87.56628916,"(41.75462757029349, -87.56628916429095)",170314312001000
24,1/2/17,Completed,1/4/17,17-00015666,Sanitation Code Violation,Dumpster not being emptied,7748 S YATES BLVD,60649,1193543.448,1854056.72,7,4,43,41.75448073,-87.56628615,"(41.75448073022997, -87.56628614828854)",170314312001000
25,1/2/17,Completed,1/4/17,17-00015668,Sanitation Code Violation,Overflowing carts,7728 S YATES BLVD,60649,1193540.348,1854190.32,7,4,43,41.75484742,-87.56629314,"(41.754847415100095, -87.56629314351576)",170314312001000
26,1/2/17,Completed,1/4/17,17-00015729,Sanitation Code Violation,Overflowing carts,7742 S YATES BLVD,60649,1193542.448,1854096.82,7,4,43,41.75459079,-87.5662885,"(41.754590792287615, -87.56628850272202)",170314312001000
27,1/2/17,Completed,1/4/17,17-00015734,Sanitation Code Violation,Overflowing carts,7746 S YATES BLVD,60649,1193543.148,1854070.12,7,4,43,41.75451751,-87.56628681,"(41.754517508236546, -87.56628680985594)",170314312001000
28,1/2/17,Completed,1/4/17,17-00015736,Sanitation Code Violation,Overflowing carts,7750 S YATES BLVD,60649,1193536.048,1854377.32,7,4,43,41.75536066,-87.56630279,"(41.7553606631378, -87.56630279163524)",170314313012009
29,1/2/17,Completed,1/4/17,17-00022681,Sanitation Code Violation,Garbage in alley,5110 S MAJOR AVE,60638,1139227.06,1870167.364,14,8,56,41.79984771,-87.76495094,"(41.79984771455198, -87.76495094023683)",170315608001004
30,1/2/17,Completed,1/4/17,17-00025895,Sanitation Code Violation,Dumpster not being emptied,1318 N KEDZIE AVE,60651,1154785.314,1908652.76,26,14,23,41.90515959,-87.70686409,"(41.905159590571806, -87.70686408988122)",170312309002009
31,1/2/17,Completed,1/4/17,17-00026542,Sanitation Code Violation,Overflowing carts,11257 S PARNELL AVE,60628,1174645.718,1830239.613,34,22,49,41.68956478,-87.6362467,"(41.68956478404949, -87.63624669837645)",170314912003017
32,1/2/17,Completed,1/4/17,17-00027655,Sanitation Code Violation,Garbage in alley,3509 W FULLERTON AVE,60647,1152664.91,1915734.473,35,14,22,41.92463467,-87.71446534,"(41.92463466780618, -87.71446534091491)",170312206012014
33,1/2/17,Completed,1/4/17,17-00038723,Sanitation Code Violation,Garbage in alley,3120 W WALTON ST,60622,1155356.428,1906165.395,26,12,23,41.89832257,-87.70483314,"(41.89832257355335, -87.70483313832914)",170318366001006
34,1/2/17,Completed,1/5/17,17-00015579,Sanitation Code Violation,Dumpster not being emptied,6244 S DR MARTIN LUTHER KING JR DR,60637,1179992.76,1863698,20,3,40,41.7812582,-87.61564986,"(41.781258201458954, -87.61564985811191)",170314206002013
35,1/2/17,Completed,1/5/17,17-00019186,Sanitation Code Violation,Other,2503 W 54TH ST,60632,1160591.92,1868622.745,14,9,63,41.79519469,-87.6866419,"(41.795194689712, -87.68664189658585)",170316305002004
36,1/2/17,Completed,1/5/17,17-00020669,Sanitation Code Violation,Dumpster not being emptied,4720 S DREXEL BLVD,60615,1182983.974,1873901.294,4,2,39,41.80918787,-87.60436633,"(41.80918786594334, -87.60436632844508)",170313904002001
37,1/2/17,Completed,1/5/17,17-00023511,Sanitation Code Violation,Other,1211 E 55TH ST,60615,1185209.709,1868774.831,5,2,41,41.79506837,-87.59636407,"(41.79506836848156, -87.59636407440699)",170314107001012
38,1/2/17,Completed,1/5/17,17-00037742,Sanitation Code Violation,Dumpster not being emptied,826 E 47TH PL,60615,1182682.532,1873697.85,4,2,39,41.80863661,-87.60547827,"(41.808636611877986, -87.60547826809501)",170313904002003
39,1/2/17,Completed,1/5/17,17-00037792,Sanitation Code Violation,Dumpster not being emptied,822 E 47TH PL,60615,1182637.832,1873696.85,4,2,39,41.80863491,-87.60564225,"(41.80863490651228, -87.60564224701959)",170313904002003
40,1/2/17,Completed,1/6/17,17-00013211,Sanitation Code Violation,Other,17 W 35TH ST,60616,1176681.48,1881798.813,3,2,35,41.83100371,-87.62724446,"(41.831003706605465, -87.62724446061792)",170318420002008
41,1/2/17,Completed,1/6/17,17-00015339,Sanitation Code Violation,Dumpster not being emptied,250 W 47TH ST,60609,1175277.195,1873805.268,3,9,37,41.80910027,-87.632636,"(41.80910026736879, -87.63263600450566)",170318356001007
42,1/2/17,Completed,1/6/17,17-00017839,Sanitation Code Violation,Overflowing carts,5760 N MILWAUKEE AVE,60646,1135448.751,1937989.551,45,16,11,41.98602837,-87.7771952,"(41.9860283681292, -87.77719519682914)",170311101003007
43,1/2/17,Completed - Dup,1/9/17,17-00027686,Sanitation Code Violation,Garbage in yard,6914 S JUSTINE ST,60636,1167197.487,1858876.521,16,7,67,41.76831092,-87.66269789,"(41.76831092277542, -87.66269788735013)",170316716002003
44,1/2/17,Completed,1/9/17,17-00023104,Sanitation Code Violation,Dog feces in yard,6223 S CAMPBELL AVE,60629,1160772.187,1863315.102,16,8,66,41.78062608,-87.68612736,"(41.78062607979888, -87.68612736308135)",170318350002007
45,1/2/17,Completed,1/9/17,17-00026699,Sanitation Code Violation,Garbage in yard,6928 S JUSTINE ST,60636,1167200.187,1858782.721,16,7,67,41.76805347,-87.66269067,"(41.76805346550649, -87.66269067140219)",170316716002017
