,State,County,Track,Mean Income,Family Size,Population,Black
0,17,031,650200,58911,4.21,7653,98
1,17,031,070600,172638,3.08,3218,42
2,17,031,390300,33660,3.12,2708,2423
3,17,031,231500,34408,4.47,7027,6417
4,17,031,160300,54750,2.90,3815,320
5,17,031,080202,133102,2.53,3664,66
6,17,031,836400,60196,3.41,3305,3003
7,17,031,170500,75949,3.17,5245,179
8,17,031,062400,163575,2.93,1517,28
9,17,031,838000,46768,3.76,2928,2126
10,17,031,838100,41537,2.86,1868,991
11,17,031,010701,69279,3.38,3999,706
12,17,031,640300,74403,3.62,7018,0
13,17,031,310900,43931,3.67,5034,114
14,17,031,320600,109439,2.27,4791,928
15,17,031,161300,49722,3.64,3905,106
16,17,031,010202,43751,3.18,2304,674
17,17,031,010600,56929,3.25,6558,1773
18,17,031,431200,58154,3.49,3296,3164
19,17,031,431301,31492,3.51,3037,2867
20,17,031,560800,75909,3.28,6064,37
21,17,031,230900,50027,3.62,5330,1320
22,17,031,491200,54936,3.57,2293,2210
23,17,031,220601,66925,3.87,1817,212
24,17,031,836600,58109,3.60,2683,946
25,17,031,420600,24801,3.73,2129,1992
26,17,031,630500,54317,4.51,6405,150
27,17,031,390400,55631,2.85,2693,2343
28,17,031,410700,72117,2.48,2096,507
29,17,031,842000,95286,2.85,2999,1034
30,17,031,835600,52758,3.95,1020,1000
31,17,031,110100,99385,3.74,6020,0
32,17,031,671600,30743,3.79,2030,1818
33,17,031,835000,33595,4.45,5908,3747
34,17,031,510200,51703,3.05,2627,1914
35,17,031,711500,44573,3.75,2382,2283
36,17,031,839100,112646,2.59,5704,867
37,17,031,130200,91892,3.31,1620,23
38,17,031,241400,130367,2.90,5325,651
39,17,031,051400,130551,2.98,1873,48
40,17,031,681200,30088,3.80,2437,2241
41,17,031,040201,73508,3.09,6314,205
42,17,031,160501,63665,4.06,4683,106
43,17,031,730700,52839,3.63,2345,2274
44,17,031,460400,55342,3.23,3072,2974
45,17,031,040700,99436,3.18,3383,65
46,17,031,190300,57537,4.17,5375,75
47,17,031,660500,42009,4.33,5346,687
48,17,031,750100,54454,3.53,4396,4091
49,17,031,750500,65731,3.82,6168,4667
50,17,031,251300,46187,3.47,4882,4039
51,17,031,590500,57447,3.58,1772,46
52,17,031,221000,51406,3.91,2991,223
53,17,031,020302,131592,3.30,4886,669
54,17,031,221200,75145,3.43,3163,133
