,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,FIPS
0,Vacant/Abandoned Building,17-00017391,1/2/17,Rear,,Open,BACK DOOR,Vacant,FALSE,TRUE,632,N,LATROBE,AVE,60644,1141249.76,1903678.166,37,15,25,41.89176921,-87.75670785,"(41.891769211507615, -87.75670784584048)",170312515001009
1,Vacant/Abandoned Building,17-00026275,1/2/17,Rear,,Open,,Vacant,FALSE,TRUE,3520,W,BELDEN,AVE,60647,1152883.206,1915072.416,35,14,22,41.9228136,-87.7136808,"(41.92281360331314, -87.7136808017195)",170312211003006
2,Vacant/Abandoned Building,17-00042635,1/3/17,Front,,Open,,Vacant,FALSE,FALSE,2943,W,WASHINGTON,BLVD,60612,1156751.507,1900541.048,27,12,27,41.88286068,-87.69986161,"(41.88286068279902, -87.6998616079848)",170318370002001
3,Vacant/Abandoned Building,17-00046576,1/3/17,Front,,Boarded,,Vacant,FALSE,FALSE,9312,S,KENWOOD,AVE,60619,1186736.38,1843505.514,8,4,47,41.72569097,-87.59156486,"(41.72569097261967, -87.59156485690048)",170314701002006
4,Vacant/Abandoned Building,17-00051839,1/3/17,Front,,Open,,Vacant,FALSE,TRUE,10809,S,AVENUE N,,60617,1201200.594,1833891.891,10,4,52,41.69895617,-87.53890774,"(41.698956165790186, -87.53890774184231)",170315203003014
5,Vacant/Abandoned Building,17-00046778,1/3/17,Front,,Boarded,,Vacant,FALSE,FALSE,7603,S,RHODES,AVE,60619,1181221.322,1854719.754,6,6,69,41.75659276,-87.61142201,"(41.756592763990916, -87.61142200667852)",170316914004011
6,Vacant/Abandoned Building,17-00043485,1/3/17,Front,,Boarded,FRONT DOOR,Vacant,FALSE,TRUE,2519,W,63RD,ST,60629,1160582.823,1862798.323,16,8,66,41.77921188,-87.68683585,"(41.779211876207306, -87.68683585484152)",170318350002014
7,Vacant/Abandoned Building,17-00043609,1/3/17,Front,,Boarded,,Vacant,FALSE,TRUE,2521,W,63RD,ST,60629,1160561.523,1862797.723,16,8,66,41.77921067,-87.68691396,"(41.779210669131096, -87.68691395979606)",170318350002014
8,Vacant/Abandoned Building,17-00054080,1/3/17,Front,,Boarded,,Vacant,FALSE,FALSE,5921,S,CAMPBELL,AVE,60629,1160718.165,1865323.255,16,8,66,41.78613784,-87.68627002,"(41.78613784098296, -87.68627001695704)",170318350001004
9,Vacant/Abandoned Building,17-00054165,1/3/17,Front,,Open,VARIOUS,Vacant,FALSE,FALSE,6519,S,CLAREMONT,AVE,60636,1161863.654,1861363.704,16,8,66,41.77524856,-87.68218,"(41.77524856363298, -87.68217999890751)",170316607001023
10,Vacant/Abandoned Building,17-00054502,1/3/17,Front,,Boarded,,Vacant,FALSE,FALSE,9554,S,WALLACE,ST,60628,1173984.469,1841519.649,21,22,73,41.72053353,-87.63833424,"(41.72053352590538, -87.63833424414388)",170317305004015
11,Vacant/Abandoned Building,17-00042925,1/3/17,,,,,,,,6032,S,ELIZABETH,ST,60636,1169024.564,1864776.009,16,7,67,41.78446056,-87.65583041,"(41.78446055696625, -87.65583040637075)",170316709001004
12,Vacant/Abandoned Building,17-00054086,1/3/17,Front,,Boarded,,Vacant,FALSE,FALSE,8527,S,RACINE,AVE,60620,1169810.553,1848244.992,21,6,71,41.73908029,-87.65342771,"(41.73908028595897, -87.65342771129288)",170317111001012
13,Vacant/Abandoned Building,17-00045172,1/3/17,,,,,,,,4000,E,134TH,ST,60633,1204439.12,1816676.28,10,4,55,41.65163236,-87.52763949,"(41.65163236365521, -87.52763949079129)",170315501001047
14,Vacant/Abandoned Building,17-00068420,1/4/17,Front,,Open,,Vacant,FALSE,FALSE,8022,S,EMERALD,AVE,60620,1172695.692,1851676.434,21,6,71,41.74843358,-87.64275622,"(41.748433579115364, -87.6427562193056)",170317109001014
15,Vacant/Abandoned Building,17-00068968,1/4/17,Front,,Open,,Vacant,FALSE,FALSE,7801,S,UNION,AVE,60620,1172986.714,1853145.706,6,6,71,41.75245903,-87.64164654,"(41.75245903397721, -87.64164653602171)",170317101001017
16,Vacant/Abandoned Building,17-00070421,1/4/17,Front,,Open,,Vacant,FALSE,FALSE,7209,S,CARPENTER,ST,60621,1170560.332,1857013.27,6,7,68,41.76312531,-87.65042568,"(41.76312531420479, -87.65042567766548)",170316814004006
17,Vacant/Abandoned Building,17-00070425,1/4/17,Front,,Open,,Vacant,FALSE,FALSE,6352,S,EVANS,AVE,60637,1182311.476,1863053.653,20,3,42,41.77943663,-87.60716898,"(41.779436632580236, -87.60716897854888)",170314207001001
