,model_type,clf,parameters,train_time,test_time,accuracy,f1_score,precision,recall,auc,p_at_5,p_at_10,p_at_20,r_at_5,r_at_10,r_at_20
0,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'min_samples_split': 2}",0.12900495529174805,0.0036940574645996094,0.93208,0.0,0.0,0.0,0.5,0.464,0.6725333333333333,0.3396,0.3415783274440518,0.9901845308205732,1.0
1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'min_samples_split': 2}",0.22566699981689453,0.1052858829498291,0.93208,0.0,0.0,0.0,0.5,0.4282666666666667,0.3373333333333333,0.21746666666666667,0.31527287004318805,0.4966627404789949,0.6403612092658029
2,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'min_samples_split': 2}",1.4492549896240234,0.12903690338134766,0.93208,0.0,0.0,0.0,0.5,0.432,0.3141333333333333,0.21773333333333333,0.31802120141342755,0.4625049077345897,0.6411464468001571
3,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'min_samples_split': 5}",0.11305809020996094,0.002277851104736328,0.93208,0.0,0.0,0.0,0.5,0.464,0.6725333333333333,0.3396,0.3415783274440518,0.9901845308205732,1.0
4,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'min_samples_split': 5}",0.22713303565979004,0.10398292541503906,0.93208,0.0,0.0,0.0,0.5,0.4282666666666667,0.3176,0.22013333333333332,0.31527287004318805,0.46760895170789163,0.6482135846093443
5,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'min_samples_split': 5}",1.3176701068878174,0.1234281063079834,0.93208,0.0,0.0,0.0,0.5,0.4298666666666667,0.31253333333333333,0.2172,0.31645072634471927,0.4601491951315273,0.6395759717314488
6,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 1, 'min_samples_split': 10}",0.11776399612426758,0.0023670196533203125,0.93208,0.0,0.0,0.0,0.5,0.7472,0.3736,0.26853333333333335,0.5500588928150766,0.5500588928150766,0.7907341970946211
7,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'min_samples_split': 10}",0.22451090812683105,0.10638713836669922,0.93208,0.0,0.0,0.0,0.5,0.4416,0.3272,0.2168,0.3250883392226148,0.4817432273262662,0.6383981154299175
8,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'min_samples_split': 10}",1.2159359455108643,0.12906193733215332,0.93208,0.0,0.0,0.0,0.5,0.4304,0.31066666666666665,0.21826666666666666,0.3168433451118963,0.4574008637612878,0.6427169218688653
9,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 1, 'min_samples_split': 2}",0.11481499671936035,0.0031290054321289062,0.93208,0.0,0.0,0.0,0.5,0.464,0.6725333333333333,0.3396,0.3415783274440518,0.9901845308205732,1.0
