,count,mean,std,min,25%,50%,75%,max,missing value count
person_id,150000.0,75000.5,43301.414526548666,1.0,37500.75,75000.5,112500.25,150000.0,0.0
serious_dlqin2yrs,150000.0,0.06684,0.24974553092870277,0.0,0.0,0.0,0.0,1.0,0.0
revolving_utilization_of_unsecured_lines,150000.0,6.04843805466686,249.75537062543177,0.0,0.029867442,0.154180737,0.5590462475,50708.0,0.0
age,150000.0,52.295206666666665,14.77186586310081,0.0,41.0,52.0,63.0,109.0,0.0
zipcode,150000.0,60648.810013333336,56.74819727634804,60601.0,60625.0,60629.0,60644.0,60804.0,0.0
number_of_time30-59_days_past_due_not_worse,150000.0,0.4210333333333333,4.192781272017265,0.0,0.0,0.0,0.0,98.0,0.0
debt_ratio,150000.0,353.0050757638672,2037.8185231443026,0.0,0.17507383225,0.366507841,0.86825377325,329664.0,0.0
monthly_income,120269.0,6670.221237392844,14384.674215282244,0.0,,,,3008750.0,29731.0
number_of_open_credit_lines_and_loans,150000.0,8.45276,5.145950989645247,0.0,5.0,8.0,11.0,58.0,0.0
number_of_times90_days_late,150000.0,0.26597333333333334,4.1693037875989925,0.0,0.0,0.0,0.0,98.0,0.0
number_real_estate_loans_or_lines,150000.0,1.01824,1.1297709848819713,0.0,0.0,1.0,2.0,54.0,0.0
number_of_time60-89_days_past_due_not_worse,150000.0,0.24038666666666667,4.155179420982588,0.0,0.0,0.0,0.0,98.0,0.0
number_of_dependents,146076.0,0.7572222678605657,1.1150860714872997,0.0,,,,20.0,3924.0
